,proj_id,awards,domain
188,2908540,435.0,5
189,2907937,300.0,7
190,2908775,200.0,7
191,2900605,200.0,7
192,2908300,300.0,7
193,2908561,250.0,7
194,2908543,200.0,7
195,2908173,200.0,7
196,2908422,200.0,7
197,2908479,200.0,7
198,2908426,200.0,7
199,2907935,200.0,7
200,2908687,200.0,7
201,2908501,400.0,7
202,2908559,250.0,7
203,2908207,400.0,7
204,2908487,260.0,7
205,2908166,200.0,7
206,2908147,200.0,7
207,2904379,475.0,7
208,2908443,200.0,7
209,2908462,200.0,7
210,2906758,225.0,10
211,2908468,200.0,7
212,2908420,250.0,5
213,2908291,385.0,7
214,2908435,200.0,7
215,2908434,200.0,7
216,2907392,420.0,9
217,2908424,200.0,7
218,2908659,200.0,7
219,2908391,200.0,5
220,2901306,540.0,10
221,2908067,300.0,7
222,2908068,250.0,7
223,2907511,200.0,7
224,2906271,275.0,7
225,2907831,300.0,7
226,2908399,200.0,7
227,2908136,300.0,7
228,2902406,750.0,9
229,2908573,200.0,7
230,2906759,200.0,7
231,2908006,300.0,7
232,2908262,200.0,7
233,2908164,420.0,9
234,2907758,200.0,7
235,2908299,200.0,7
236,2908380,200.0,7
237,2908282,300.0,7
238,2908342,200.0,7
239,2908101,255.0,7
240,2908320,200.0,7
241,2908008,300.0,7
242,2908033,300.0,7
243,2907436,250.0,9
244,2908498,200.0,7
245,2908332,200.0,7
246,2908154,200.0,10
247,2908425,540.0,10
248,2908306,300.0,7
249,2908296,250.0,7
250,2908239,200.0,6
251,2908018,200.0,7
252,2908120,500.0,7
253,2908222,250.0,7
254,2908199,300.0,7
255,2906459,500.0,5
256,2908211,200.0,7
257,2907962,200.0,7
258,2906800,250.0,9
259,2908182,200.0,7
260,2908080,500.0,7
261,2908143,420.0,9
262,2908013,285.0,7
263,2907725,200.0,7
264,2906109,240.0,7
265,2908334,300.0,7
266,2908174,300.0,7
267,2907672,250.0,7
268,2907958,200.0,7
269,2908152,200.0,7
270,2907940,300.0,7
271,2908026,400.0,5
272,2906390,200.0,7
273,2907826,305.0,7
274,2901206,200.0,7
275,2907675,280.0,7
276,2908060,200.0,7
277,2908242,200.0,7
278,2907685,300.0,7
279,2907570,250.0,7
280,2907233,200.0,7
281,2907380,300.0,7
282,2908041,300.0,7
283,2908039,200.0,6
284,2907947,420.0,7
285,2908036,300.0,7
286,2906401,360.0,7
287,2907463,300.0,5
288,2907959,200.0,7
289,2907859,200.0,5
290,2907924,255.0,7
291,2908003,300.0,7
292,2903136,200.0,7
293,2907881,275.0,7
294,2907862,250.0,5
295,2907642,200.0,7
296,2908055,250.0,7
297,2907929,200.0,7
298,2907778,200.0,7
299,2906522,500.0,7
300,2905921,300.0,7
301,2905844,540.0,10
302,2905063,660.0,7
303,2907742,725.0,7
304,2907905,250.0,7
305,2907247,250.0,7
306,2906095,500.0,7
307,2907438,200.0,7
308,2906207,530.0,7
309,2907869,200.0,7
310,2907684,200.0,7
311,2907654,200.0,7
312,2907708,200.0,5
313,2907836,200.0,7
314,2907765,200.0,7
315,2896749,200.0,7
316,2907797,225.0,10
317,2907819,200.0,7
318,2907815,200.0,7
319,2908029,200.0,7
320,2907805,200.0,7
321,2907759,200.0,7
322,2907794,200.0,7
323,2905906,725.0,7
324,2906142,285.0,7
325,2907776,200.0,7
326,2907298,200.0,7
327,2907302,200.0,7
328,2907220,750.0,9
329,2907761,200.0,7
330,2907891,200.0,7
331,2907624,200.0,7
332,2906953,200.0,7
333,2905871,250.0,9
334,2907639,300.0,7
335,2907722,200.0,7
336,2907724,200.0,7
337,2907415,200.0,7
338,2906505,200.0,7
339,2907379,200.0,7
340,2907265,200.0,7
341,2907332,200.0,7
342,2907714,250.0,7
343,2907156,200.0,7
344,2906687,200.0,7
345,2907468,200.0,5
346,2907540,200.0,7
347,2906051,200.0,7
348,2907801,300.0,7
349,2907483,200.0,7
350,2905752,750.0,5
351,2907105,200.0,7
352,2907442,200.0,7
353,2907439,300.0,7
354,2907423,350.0,7
355,2907532,300.0,7
356,2905933,300.0,7
357,2905935,250.0,7
358,2907810,725.0,7
359,2905147,200.0,7
360,2907128,200.0,7
361,2907207,200.0,7
362,2907223,200.0,7
363,2906490,200.0,7
364,2905331,200.0,7
365,2907712,200.0,7
366,2906683,900.0,7
367,2907458,200.0,7
368,2907489,200.0,7
369,2907090,200.0,7
370,2907492,200.0,7
371,2903157,300.0,7
372,2905885,200.0,7
373,2900030,1000.0,7
374,2907178,200.0,7
375,2907769,200.0,7
376,2907080,300.0,7
377,2907369,200.0,6
378,2906794,200.0,7
379,2906477,200.0,7
380,2907299,200.0,7
381,2907526,200.0,7
382,2907337,250.0,9
383,2906928,200.0,7
384,2906751,200.0,7
385,2907340,300.0,7
386,2907310,200.0,7
387,2907196,300.0,7
388,2907325,235.0,7
389,2907081,300.0,7
390,2907561,200.0,7
391,2906531,600.0,7
392,2906518,200.0,10
393,2907197,420.0,7
394,2907314,200.0,7
395,2907385,200.0,7
396,2906389,200.0,7
397,2907162,300.0,7
398,2907267,200.0,7
399,2907246,250.0,7
400,2907262,200.0,7
401,2907258,200.0,7
402,2907130,200.0,7
403,2905264,250.0,5
404,2907229,200.0,7
405,2907021,200.0,7
406,2904830,530.0,7
407,2906685,200.0,7
408,2896947,600.0,7
409,2906493,210.0,7
410,2906476,200.0,7
411,2907159,200.0,7
412,2907153,200.0,7
413,2906968,420.0,7
414,2905629,300.0,10
415,2907027,300.0,7
416,2906187,300.0,9
417,2906942,200.0,7
